pedido_id,producto_id,producto
1472,1204,Gel Bunny
1472,709,AR017 CREAMY
15,1220,Gel Form 
16,1218,Modelingg Polygell
16,1217,Acri-Gel
17,1220,Gel Form 
17,1219,Sanitizer
18,1217,Acri-Gel
18,1218,Modelingg Polygell
19,1220,Gel Form 
19,1219,Sanitizer
20,1218,Modelingg Polygell
20,1219,Sanitizer
21,1220,Gel Form 
21,1217,Acri-Gel
22,1220,Gel Form 
22,1217,Acri-Gel
1473,400,Coleccion Divina Mc
1473,559,Magic Remover Dreams Mc
1474,1204,Gel Bunny
1475,1204,Gel Bunny
1476,1228,Lampara sun hr-04 uv/led 248w - pink
1477,1228,Lampara sun hr-04 uv/led 248w - pink
1478,1228,Lampara sun hr-04 uv/led 248w - pink
1479,1228,Lampara sun hr-04 uv/led 248w - pink
1480,799,VERDE FLAKE
1481,1228,Lampara sun hr-04 uv/led 248w - pink
1482,1172,GLAM STRON-GEL
1482,353,BOMBA JELLY PERA
1483,1204,Gel Bunny
1484,1204,Gel Bunny
1484,628,Primer Adherente Mc
1485,1204,Gel Bunny
1485,539,MIX 3
1486,1204,Gel Bunny
1486,826,GEL BUILDER
1487,1204,Gel Bunny
1488,3,14 De Febrero Coleccion
1488,268,KD.702
1489,660,Solucion Antiseptica Azul Colorful
1489,1035,BALIN ROSE GOLD MINI
1490,149,180/180 Sweet
1490,660,Solucion Antiseptica Azul Colorful
1490,41,DESHIDRATADOR DE UÑAS WAPI
1490,268,KD.702
1491,857,PLATA
1491,86,MONOMERO PIÑA WAPIZIMA
1491,791,MORADO VIOLETA
1492,110,PETAL PINK WAPIZIMA 28g
1492,1044,BASE TRASLUCIDA CANDY 04
1492,149,180/180 Sweet
1493,406,Colorful Sunlight Monomero 8oz
1493,983,73 BUGAMBILIA
1493,514,LIMA COBA MC 180/180
1493,657,Sal Mineral Rosa Floral
1494,357,Base Gel Novamore
1494,187,GEL PARA PIES CANSADOS (GRANDE) 250 ML
1494,388,COWBOY NATURAL TIP
1495,314,14 BUGAMBILIA GC NAILS
1495,1189,Gel Base Trasalucida Canela #2
1496,1134,FOTO SENSIBLE VERDE
1496,1056,CARACOLA MAR
1496,659,Solucion Antiseptica Amarillo Colorful
1496,357,Base Gel Novamore
1497,959,57 BEIGE CREMA
1497,352,BOMBA JELLY MANGO MC
1498,236,Bullet Rojo
1498,288,P.04
1499,1204,Gel Bunny
1500,1204,Gel Bunny
1500,1001,ACETONA PURA 32OZ
1501,1204,Gel Bunny
1502,1204,Gel Bunny
1503,48,DIOSAS SELENE 1oz
1503,472,GODETE De Porcelana Grande Mc
1503,178,ESPUMA CEREZA 250ML
