id,nombre,categoria,precio,duracion
6,Uñas esculturales forma almendra ,Uñas esculturales,380.0,2 hrs
8,Uñas esculturales forma cuadrada,Uñas esculturales,350.0,2hrs
5,Softgel natural,Uñas Softgel,300.0,1h 30min
4,Polygel forma coffin ,Uñas polygel,400.0,2h 30min
3,Baño acrílico clásico,Baño de acrílico,200.0,1h
9,Laminado + depilación,Laminado de cejas,380.0,1h 30min
2,Laminado de cejas básico,Laminado de cejas,270.0,1h
10,Lash lifting clásico,Lash lifting,350.0,1h
11,Pedicura spa clásica ,Pedicura spa,280.0,1h 30min
12,Pedicura macro clásica,Pedicura Macro,320.0,1h 30min
13,Pedicura en seco básica,Pedicura en seco terminado spa,300.0,1h 15min
